ID,AgeGroup,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive_Fraction,SS_Fraction,Alcohol,Caffeine,Cannabis,Cocaine
1,35 - 44,Female,Professional certificate/ diploma,UK,Mixed-White/Asian,39,36,42,37,42,18.83,7,Used,Used, Never Used, Never Used
2,25 - 34,Male,Doctorate degree,UK,White,29,52,55,48,41,16.29,11.83,Used,Used,Used,Used
3,35 - 44,Male,Professional certificate/ diploma,UK,White,31,45,40,32,34,14.64,13.21,Used,Used,Used, Never Used
4,18 - 24,Female,Masters degree,UK,White,34,34,46,47,46,14.64,7,Used,Used,Used,Used
5,35 - 44,Female,Doctorate degree,UK,White,43,28,43,41,50,18.83,11.83,Used,Used,Used, Never Used
6,65+,Female,Left school at 18 years,Canada ,White,29,38,35,55,52,14.64,4.62,Used,Used, Never Used, Never Used
7,45 - 54,Male,Masters degree,USA,White,31,32,43,41,48,18.83,11.62,Used,Used,Used, Never Used
8,35 - 44,Male,Left school at 16 years,UK,White,24,52,40,41,52,13.63,11.19,Used,Used, Never Used, Never Used
9,35 - 44,Female,Professional certificate/ diploma,Canada ,White,42,55,39,48,49,14.64,4.62,Used,Used, Never Used, Never Used
10,55 - 64,Male,Masters degree,UK,White,33,40,36,47,43,14.64,8.97,Used,Used,Used, Never Used
11,25 - 34,Female,University degree,UK,White,26,45,38,38,53,13.63,11.62,Used,Used,Used,Used
12,45 - 54,Male,Some college or university,Other,White,24,40,47,30,38,11.46,11.14,Used,Used,Used,Used
13,55 - 64,Female,University degree,UK,White,56,41,49,32,36,7.85,11.62,Used,Used,Used,Used
14,55 - 64,Female,Professional certificate/ diploma,Canada ,White,28,45,46,49,59,16.29,8.97,Used,Used, Never Used, Never Used
15,55 - 64,Female,Professional certificate/ diploma,UK,White,27,49,49,39,52,7.85,11.19,Used,Used, Never Used, Never Used
16,55 - 64,Male,University degree,UK,White,19,29,35,36,49,16.29,11.19,Used,Used,Used,Used
17,35 - 44,Female,Some college or university,UK,White,22,34,34,45,47,18.83,3.77,Used,Used,Used, Never Used
18,45 - 54,Male,Left school at 16 years,UK,White,41,31,44,40,31,14.64,8.97,Used,Used,Used,Used
19,55 - 64,Male,University degree,Australia,White,49,39,45,30,30,16.29,11.83,Used,Used,Used,Used
20,35 - 44,Male,Professional certificate/ diploma,UK,White,32,27,29,30,47,14.64,3.77,Used,Used,Used, Never Used
21,45 - 54,Male,Professional certificate/ diploma,UK,White,28,45,51,53,33,13.63,11.83,Used,Used,Used, Never Used
22,65+,Male,Left school before 16 years,UK,White,25,43,38,39,53,18.83,7,Used,Used,Used, Never Used
23,45 - 54,Male,University degree,UK,White,40,33,40,50,35,16.29,11.62,Used,Used, Never Used, Never Used
24,45 - 54,Male,Left school at 16 years,UK,White,51,16,37,45,34,14.64,4.62,Used,Used,Used,Used
